"","State","Happiness","Trump.Vote","Population","StateName","State1","Stadium","Capacity","City","Year.opened","Type","Tenant","HomeWins","HomeGames","FranchiseValue","Attendence","WinPct"
"37","Oklahoma",1,65.3,3940521,"Oklahoma","OK","Chesapeake Energy Arena",18203,"Oklahoma City",2002,"Basketball","Oklahoma City Thunder",29,44,1.25e+09,100,0.659090909090909
"38","Tennessee",2,60.7,6782564,"Tennessee","TN","FedExForum",18119,"Memphis",2004,"Basketball","Memphis Grizzlies",16,41,1.025e+09,91.2,0.390243902439024
"39","California",4,31.5,39776830,"California","CA","Golden 1 Center",17608,"Sacramento",2016,"Basketball","Sacramento Kings",14,41,1.375e+09,100.6,0.341463414634146
"40","Michigan",2,47.3,9991177,"Michigan","MI","Little Caesars Arena",20491,"Detroit",2017,"Basketball","Detroit Pistons",25,41,1.1e+09,72.4,0.609756097560976
"41","New York",2,36.5,19862512,"New York","NY","Madison Square Garden",19812,"New York",1968,"Basketball","New York Knicks",19,41,3.6e+09,99.8,0.463414634146341
"42","Oregon",3,39.1,4199563,"Oregon","OR","Moda Center",19980,"Portland",1995,"Basketball","Portland Trail Blazers",28,43,1.3e+09,99.4,0.651162790697674
"43","California",4,31.5,39776830,"California","CA","Oracle Arena",19596,"Oakland",1966,"Basketball","Golden State Warriors",37,50,3.1e+09,100,0.74
"44","Colorado",5,43.3,5684203,"Colorado","CO","Pepsi Center",19155,"Denver",1999,"Basketball","Denver Nuggets",31,41,1.125e+09,77.1,0.75609756097561
"45","Georgia",3,50.4,10545138,"Georgia","GA","Philips Arena",18118,"Atlanta",1999,"Basketball","Atlanta Hawks",16,41,1.15e+09,85.2,0.390243902439024
"46","Ohio",1,51.3,11694664,"Ohio","OH","Quicken Loans Arena",20562,"Cleveland",1994,"Basketball","Cleveland Cavaliers",37,50,1.325e+09,100,0.74
"47","Louisiana",1,58.1,4682509,"Louisiana","LA","Smoothie King Center",16867,"New Orleans",1999,"Basketball","New Orleans Pelicans",27,45,1e+09,94.1,0.6
"48","North Carolina",3,49.8,10390149,"North Carolina","NC","Spectrum Center",19077,"Charlotte",2005,"Basketball","Charlotte Hornets",21,41,1.05e+09,90.9,0.51219512195122
"49","California",4,31.5,39776830,"California","CA","Staples Center",19060,"Los Angeles",1999,"Basketball","Los Angeles Clippers",22,41,2.15e+09,100.1,0.536585365853659
"50","California",4,31.5,39776830,"California","CA","Staples Center",18997,"Los Angeles",1999,"Basketball","Los Angeles Lakers",20,41,3.3e+09,99.4,0.48780487804878
"51","Arizona",5,48.1,7123898,"Arizona","AZ","Talking Stick Resort Arena",18422,"Phoenix",1992,"Basketball","Phoenix Suns",9,41,1.28e+09,93.8,0.219512195121951
"52","Minnesota",5,44.9,5628162,"Minnesota","MN","Target Center",19356,"Minneapolis",1990,"Basketball","Minnesota Timberwolves",31,43,1.06e+09,76.5,0.720930232558139
"53","Massachusetts",4,32.8,6895917,"Massachusetts","MA","TD Garden",18624,"Boston",1995,"Basketball","Boston Celtics",37,52,2.5e+09,99.6,0.711538461538462
"54","Texas",5,52.2,28704330,"Texas","TX","Toyota Center",18055,"Houston",2003,"Basketball","Houston Rockets",41,50,2.2e+09,94.1,0.82
"55","Illinois",2,38.4,12769320,"Illinois","IL","United Center",20917,"Chicago",1994,"Basketball","Chicago Bulls",17,41,2.6e+09,103.6,0.414634146341463
